id,video id,author,author id,text,label,annotator notes,text_length
UgzMpQWc07jgWP9qxrZ4AaABAg,M7jj9c4pzIA,@kartinidewiyanti8984,UCZN2FW7MTG44rpqG9dl1tQw,Russia team you china team you,N,"Confidence: Low | The comment mentions 'Russia team' and 'China team' without any direct reference to the Israel-Gaza conflict. It's unclear if these are political teams or related to a different context within the video. Therefore, the stance on the conflict is not discernible.",30
UgzIzhEn1ckx-a4K2aB4AaABAg,M7jj9c4pzIA,@omjo7715,UCbljMem8JW2Lsr3lkYE2VZg,"As an Indonesian, I feel that Lebanon and Yemen should be ranked 1st and 2nd...
Sorry, I don't mean to offend any country, but I really respect their actions so far... 🤗🙏",N,"Confidence: Low | The comment expresses respect for Lebanon and Yemen from an Indonesian perspective. While these countries are involved in regional dynamics, the comment itself does not explicitly state support or criticism for either Israel or Palestine in the conflict. It focuses on the actions of these specific countries without taking a side in the broader conflict.",170
Ugwk9n9C-Wx60jZZ1cV4AaABAg,M7jj9c4pzIA,@user-ic1cq9gq3k,UCg-ClC7ZloQmahrrq1ABB7w,Palistine br Mt ma tera sath ho Pakistan ❤❤❤❤❤🇵🇰🇵🇰🇵🇰🇵🇰🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,P,"Confidence: High | The comment explicitly states 'Palistine br Mt ma tera sath ho Pakistan' which translates to 'Palestine brother, we are with you Pakistan'. The inclusion of Pakistan and Palestine flags further solidifies the pro-Palestinian stance.",70
UgwI2cv0OgUqNp4lBL94AaABAg,M7jj9c4pzIA,@humblegood07,UCqyzgwCEfCbkxFgCr-Hu7vA,"False, Morocco is one of the muslim majority countries who denied to give the economic sanction to Israel 👎🏼 Moroccan govt is the hypocrite just like other few muslim majority countries 👎🏼",N,"Confidence: Medium | The comment criticizes the Moroccan government for not imposing economic sanctions on Israel, calling them 'hypocrites'. This criticism of a Muslim-majority country's stance towards Israel *could* imply a pro-Palestinian leaning, but it doesn't directly express support for Palestine or condemn Israel's actions. It focuses on the perceived hypocrisy of certain governments rather than taking a clear stance on the core conflict.",188
Ugy6hBuwfU-PY-DMuyp4AaABAg,M7jj9c4pzIA,@Localpotato14,UC8XDDNcZ2fSwWjry5-rmDVw,We need Trump back bc he will support Palestine,P,"Confidence: High | The comment explicitly states 'We need Trump back bc he will support Palestine'. This is a direct declaration of support for Palestine, linking it to a political figure.",47
UgzWvfXvlJlpppVqg-N4AaABAg,M7jj9c4pzIA,@saimasaleem659,UCX0yUatAqcm0Wb1gGANIzBQ,Indian muslims are also supporting palestine,P,"Confidence: High | The comment explicitly states that 'Indian muslims are also supporting palestine', directly indicating support for the Palestinian cause.",44
UgyVkG0P01cILorlSeJ4AaABAg,M7jj9c4pzIA,@MohamadaligamingBosso,UCYNRx0895dGTpmu4vcMbQ2w,From🇱🇧,N,"Confidence: Low | The comment consists only of a flag emoji from Lebanon. While Lebanon has a complex relationship with the conflict, a flag alone does not clearly indicate support for either side without further context.",6
UgzaIkfOblAkPYJ8Hah4AaABAg.9xkKUhQ3vJL9y5Qmjcvv6M,M7jj9c4pzIA,@lamariiimanariiiRMD2016,,My country always talks about palestine,P,"Confidence: Medium | The comment states 'My country always talks about palestine'. While 'talking about' can be neutral, in the context of this conflict, it often implies a level of support or concern for the Palestinian cause. However, it's not as direct as an explicit statement of support.",39
Ugx3jZqfrzBey1g6W294AaABAg,M7jj9c4pzIA,@a.sjabir2653,UC4b4jkrWD8MZFnJBdL4X_hw,Me also,N,"Confidence: Low | The comment 'Me also' is a direct response to a previous comment. Without knowing the content of the comment it's replying to, its stance is unclear. If the previous comment was supportive of Palestine, then this would also be P. If it was neutral or about something else entirely, the label would change. Given the ambiguity, N is the most appropriate.",7
UgzZnqD-AzC5jvQDS754AaABAg,M7jj9c4pzIA,@hibausman6103,UCXCDF1Y2jjzVSQnRU8iIcMg,And proud to be a Palestinian and Pakistani 🇵🇸,P,Confidence: High | The comment explicitly states 'And proud to be a Palestinian and Pakistani 🇵🇸'. The inclusion of the Palestinian flag and the statement of pride in being Palestinian directly indicates support for Palestine.,46
UgwgTGolDPIjACrPUcR4AaABAg,_FtRud1ZGu0,@2380Shaw,UCsfB91rtFseXSwJSJeQgtXg,No offense but how would a Japanese know?,N,Confidence: Low | The comment questions the knowledge of a Japanese person regarding an unspecified topic. It does not offer any opinion or stance related to the Israel-Gaza conflict.,41
UgwpzVoFqlpsOr6OJNZ4AaABAg.9xgpU7xiKkL9xh3i1SxBq6,_FtRud1ZGu0,@yntks6436,,At least he's telling the truth😂,N,"Confidence: Low | The comment is a sarcastic remark about someone telling the truth, but it lacks any specific context or reference to the Israel-Gaza war. It's impossible to determine a stance.",32
UgyCMQgY8EYFrz8Gaxh4AaABAg,_FtRud1ZGu0,@user-fq7ux9ck3z,UCoQtD_2A39V0xnW8XPgTDEw,"The Ten Commandments was born from the Old Testament. Then Jesus Christ came as the messiah to fulfill the prophecy, however, there will be a false messiah that will come by. So Christianity was born and so Islam. The Christians believe that Jesus Christ was the Son of God. Muslims also believe in Jesus Christ but they think He is one of the prophets. However, He can heal people and was risen from the dead and went to heaven. That’s the difference. He was taken by God and is still alive. Where the other prophets died and went to heaven— Moses and other ones.",N,Confidence: Low | This comment provides a detailed explanation of religious beliefs regarding Jesus Christ and prophets within Christianity and Islam. It does not express any support or criticism towards either side of the Israel-Gaza conflict.,564
Ugw3zon5INviMOT3afV4AaABAg,_FtRud1ZGu0,@jfalk35,UCIUO_esRJsYgtY6y6puWHTw,"Apparently, this guy never read the old Testament.",N,"Confidence: Low | The comment criticizes someone for not reading the Old Testament. While the Old Testament is relevant to the historical and religious context of the region, this comment itself doesn't express a stance on the current conflict between Israel and Palestine.",50
Ugw22lCQquakkk-Y7hh4AaABAg,_FtRud1ZGu0,@haydenharris3059,UCISVrhh610zp_eQtjPCA_vg,What is God except a sounding board chant.,N,Confidence: Low | This comment is a philosophical or existential question about the nature of God. It does not offer any opinion or stance related to the Israel-Gaza conflict.,42
UgxBiPOB9onH-8Bsqg54AaABAg,_FtRud1ZGu0,@toyeprice470,UC0pXn0hquSd-iZ4MFAY1hXQ,In the last days there will be False prophets and evil preaching different then what is in the Bible!,N,Confidence: High | This comment is discussing religious prophecy and does not mention or allude to the Israel-Gaza conflict.,101
UgwiDXKg0EOTNr-OleR4AaABAg,_FtRud1ZGu0,@johnkennedy4023,UC18JAZLNJ_Yj7C-GsL27VQQ,"Unless they bless Israel, Palestine will be forgotten",P,"Confidence: Medium | The comment implies that Palestine is being overlooked and suggests that support for Israel is necessary for Palestine to be remembered, which subtly criticizes the current situation and implicitly favors Palestinian concerns.",53
Ugz1vW4Whd7X3nbAGm54AaABAg.9xgfFeh13Cp9xglLKGu3jh,_FtRud1ZGu0,@fabianocapet7785,,"@@I_stand_with_Israel- yeah, if it was 1623 instead of 2023 you would have asked me to explain why storms and earthquakes happen if it's not for god's wrath. Being unable to explain something doesn't mean the answer is god. Poor logic.",N,"Confidence: High | This comment is a direct response to another user (@I_stand_with_Israel) and discusses theological arguments, specifically about divine intervention and explaining natural phenomena. It does not take a stance on the Israel-Gaza conflict itself.",235
UgyohJOEVJ0zCTJ3V_94AaABAg,_FtRud1ZGu0,@zozial6588,UCAAcIFP0fcxI3m5OnFfJpVQ,Then he choose islam😂😂😂😂 no not way don't pick only one read all and u will be more educated God love u I am christian,N,"Confidence: High | The comment discusses religious choices (Islam, Christianity) and promotes general education and love, without any reference to the political conflict between Israel and Palestine.",118
Ugyz9D4wPLtI7TEByu94AaABAg,_FtRud1ZGu0,@mjk958,UCywVAbPI1_cOVPiU2zKrhng,They will forge new stories to justify their genocide in Palestine.,P,"Confidence: High | The comment explicitly uses the term 'genocide in Palestine,' which is a strong accusation against actions taken within or related to the conflict, clearly aligning with a pro-Palestinian stance.",67
Ugw91JKWDmUHYUiTPsB4AaABAg.9yTK55M_wRH9yWsT2si5-A,_FtRud1ZGu0,@AinakTheReal,,@@dianiaturner7579 what means nothing? you just said bible was before Islam and I proved you wrong.,N,Confidence: High | The comment is a direct response to another user regarding the historical timeline of religious texts (Bible vs. Islam) and does not express a stance on the Israel-Gaza conflict itself.,99
Ugz-31eyNisyxlcf-tF4AaABAg,_FtRud1ZGu0,@eternal-peace998,UCdRER7CdrghpRlWeFlYrfiQ,"*Why should Muslims leave Islam and convert to Judaism?*

Islam is the second largest religion in the world after Christianity. It is estimated that there are more than 1.8 billion Muslims, which accounts for about 24 percent of the global population.

There are more than 57 Islamic countries, most of which have populations that are 95-100 percent Muslim. However, it is not possible to determine the exact number of actual followers of Islam in these countries due to laws that impose severe penalties, including capital punishment, for leaving the religion.

The worldwide Jewish population is 15.2 million, which is just 0.2 percent of the world's population of 8 billion. Israel has the largest number of Jews, with approximately 6,983,000 individuals. Additionally, there are approximately 6 million Jews in America. Jewish people have made significant contributions to various fields such as science, medicine, engineering, business, technology, finance, defense, philosophy, education, art, media, economics, and more. Their contributions have had a positive impact on the world. The Jews are driving the world forward.
It can be seen that a small number of 1.52 crore Jews contribute many times more to the world than 180 crore Muslims.

*It's good for Muslims to accept Judaism*",I,"Confidence: High | The comment, while framed as a question, strongly advocates for Muslims to convert to Judaism and asserts that Jews contribute more to the world than Muslims, framing this as beneficial. This sentiment aligns with a pro-Israel, pro-Jewish viewpoint.",1289
UgwCnLZJuAXw1UJFiht4AaABAg,_FtRud1ZGu0,@ToniSabic98,UCAKqWPYNn37DNgXJD1XRe8A,Bro read the Bible ❤,N,Confidence: High | This comment is a simple recommendation to 'read the Bible'. It does not offer an opinion or take a side in the Israel-Gaza conflict.,20
UgzZUkBwuBdsLxZd6mp4AaABAg,_FtRud1ZGu0,@jaiscorpion1,UCMUTL6KwGxCF_TxfcP6Ezpw,You don't have any knowledge..,N,"Confidence: High | This comment is a direct personal attack on another user's knowledge, stating 'You don't have any knowledge..'. It does not express any stance related to the Israel-Gaza war.",30
UgwltwnCs9Pm-oC5fbh4AaABAg.9xeg4SxjW2B9yzrVMaYo4s,_FtRud1ZGu0,@jonjonboi3701,,Nah Jews are the chosen ones,I,"Confidence: High | The comment 'Nah Jews are the chosen ones' is a direct affirmation of a theological concept often used to support a pro-Israel narrative, implying divine favor and a special status for Jewish people. This aligns with a supportive stance of Israel.",28
UgwNH1aUoZ4HEuc2MHF4AaABAg,_FtRud1ZGu0,@muhammadsohaib7302,UCJ5CMgWzLEeOJoNzs_8AJeg,"Yes of course. They're not chosen ones. Chosen ones are those who believe in One God. And Islam is the only monotheistic religion that is present in its true shape. So actually this land belongs to Palestinians, who gave Jews shelter, while their massacre was occuring across Europe. And now these Jews are illicitly expelling Palestinians from their homes and massacring them. So every believer should stand against this.

The things that are occuring now are already mentioned in Quran in Surah Al Israh Verse 3 to 8 about fate and future of children of Israel.",P,"Confidence: High | The comment advocates for Palestinian rights, criticizes Israel's actions ('illicitly expelling Palestinians from their homes and massacring them'), and frames the conflict as a religious and historical injustice against Palestinians. It also references the Quran in a way that supports its narrative.",563
Ugz1U3DtbqMeHy2boeJ4AaABAg.9yYxPfS__5g9ynjtdTtJam,_FtRud1ZGu0,@imwatchingyoutubevideos,,"Really cool story, bro. Care to tell us where israel was for the last 2000 years pre 1948?",N,"Confidence: Medium | The comment asks a question about the historical presence of Israel, framed in a provocative way. While it questions Israel's historical claims, it doesn't explicitly advocate for Palestine or condemn Israel's actions, making its stance ambiguous.",90
Ugz-sp8trBCt3fLEkHd4AaABAg,_FtRud1ZGu0,@shakkedlub,UCozyjhikRjfEORki-ZC-hNg,As a jew i know you are just julas of us being chosen by god,N,Confidence: Medium | The comment expresses a personal feeling ('julas of us being chosen by god') from the perspective of a Jewish person. It doesn't take a stance on the conflict itself or offer arguments for either side.,60
UgyO0yc-mHDJ36OzAlt4AaABAg,_FtRud1ZGu0,@TLB...,UCuNlsQTKsQDzK19D0_LuOLw,Another one  with all the history and evidence... Jesus was a Jew... Omg what world are we livin in... These last days...,N,"Confidence: Low | The comment expresses sentiments related to religious prophecy ('Jesus was a Jew...', 'These last days...') which are vaguely related to the broader context of the conflict but do not explicitly support or oppose either side.",121
UgxhMM0Yb1QN7Y5NfuN4AaABAg,_FtRud1ZGu0,@straightforward750,UCEjmUuaH4N6mcZAHxvSRkOw,"From the facts stated here, a Muslim must inevitably explain the following facts.


(1) If the Qur'an is a divine revelation that has existed since eternity, then the obviously human traces in it must be missing.

2. large parts of the Qur'an are filled with the personal and political affairs of a man or a nation at a particular point in history. But God is eternal and not just a god for a short epoch! So how does something like this get into this book that is valid for all time?

3. the authentication of a revelation by only one witness is, strictly speaking, unacceptable. Where are the neutral witnesses for the sending down of this divine scripture? Even the Book of Mormon refers to witnesses!6

4 Where two books (the Bible and the Qur'an) claim to be definitive, unique, complete and universal in their message and yet strongly contradict each other in their teachings, only verifiable, objective evidence, proof or evidence can make clear which of the two is divinely inspired. The Bible has partial proof in the Tanakh, which largely agrees with the Old Testament. Where is such evidence for the Qur'an, which is even older than the Qur'an itself?

5 The distinctive and vowel signs of the Arabic language were only introduced when the Qur'an was already widely used. However, such signs can significantly change the meaning of words. When these signs were introduced, there were heated discussions about many such meanings. Why did God not introduce these signs at the time of the creation of the Qur'an in order to write this book clearly?

6. it is proven that the Qur'an in its present form was only created after the death of Muhammad, under the caliph Uthman ibn Affan ( عثمان بن عفان ). Zaid ibn Thabit ibn ad-Dahhak al-Ansari ( زيد بن ثابت بن الضحاك الأنصاري ) was commissioned to compile and write down the Qur'an. This edition is known as Mishkat al-Masabih ( مشکوۃ المصابیح ). Why are the other writers less trustworthy? They would be witnesses for the correctness of the Qur'an. Instead, Uthman ordered the destruction of all manuscripts other than his revised text. These included the four versions of the Hijazi, Kufic, Basran and Syriac texts. This situation makes my stomach ache when I examine this book!

7 According to most Islamic scholars, the Qur'an cannot be interpreted without the tradition (=Ahadith) of its prophet Muhammad, whose life is regarded as the interpretation of the Qur'an. However, the ahadith do not give us a complete and accurate picture of Muhammad. In addition, these traditions were only collected and recorded three centuries later. Their selection, which makes up only 7 percent of all traditions, was again only witnessed by a single person.
They are also not documented by several witnesses!

It therefore remains to be said that the Qur'an cannot really be regarded as an eternal book, as there are far too many ambiguities in its tradition and interpretation.

The Koran is simply a holy book, which only became what it is today through Islam!",N,"Confidence: High | This comment is a detailed critique of the Quran and Islamic tradition. While it might be interpreted as questioning religious justifications for actions, it doesn't express support for either the Israeli or Palestinian side of the conflict. Its focus is solely on theological and historical textual analysis.",3009
UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wTOnEduJP-,aEJNEOt3CZs,@Modi1245,,What are you trying to fucking achieve here bro these jews themselves dont support isreal and say its an occupying force. Why are you bots say nothing but 7th of October hamas did this hamas did that but never mention why they did this and why are Palestinian people still dying in the west bank 7k died for last 15 years only and thanks to isreal they killed all of those in 2 weeeks in gaza,P,"Confidence: High | The comment criticizes Israel's actions, mentions Palestinian deaths in the West Bank and Gaza, and questions the narrative of Hamas being solely responsible for the conflict, indicating a pro-Palestinian stance.",392
Ugxc5Cq8P4lQ808o2pp4AaABAg.9wRHz0VB8kV9wRJAfmTmNB,aEJNEOt3CZs,@narhaq3438,,😂 you live under a rock? Go read a history book. The Jews and Muslims worship the same God. Zionist worship the devil.,N,"Confidence: Low | While the comment criticizes 'Zionist' and mentions shared worship between Jews and Muslims, it doesn't explicitly advocate for either side in the current conflict, making the stance unclear.",118
UgxM1qHIlsJJGMjJTsp4AaABAg,aEJNEOt3CZs,@user-ot7cr5jt5e,UCDOjRQyzOJHUjyrLvdofgBQ,People with morals and values.❤,N,"Confidence: Low | The comment is a vague expression of appreciation without any specific reference to either side of the conflict, making its stance unclear.",31
UgyHo1r8jzWCc00Y_AN4AaABAg,aEJNEOt3CZs,@mkpirrone,UC8n8rsCjEoUcb3C1IgUy6kg,Morons!,N,"Confidence: Low | The comment 'Morons!' is an insult directed at someone, but it does not provide enough context to determine which side of the conflict the author is supporting or opposing.",7
UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wUzubrXYxh,aEJNEOt3CZs,@echoe4806,,@@creativesafiThere is lots of Hamas fighters in WestBank.There are clashes and crossfires.You live on a different planet.,I,"Confidence: Medium | The comment refutes the idea of widespread Palestinian support for Hamas in the West Bank and suggests clashes are occurring, which can be interpreted as defending the Israeli narrative or downplaying Palestinian grievances. However, it doesn't explicitly support Israel.",122
UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wRIU51n_H7,aEJNEOt3CZs,@virtualAviator159,,"Please don't believe everything you hear in the Western media. There is so many lies, it's crazy. Anyone says the word Israel, omg you're anti Semite
There is a genocide going on.
They have no electricity, no water, no food doing in. How can this even be allowed?",P,"Confidence: High | The comment explicitly states 'There is a genocide going on' and describes a lack of basic necessities like electricity, water, and food, which are strong indicators of a pro-Palestinian stance and criticism of Israeli actions.",263
Ugx0HQyOdrzidVyVakJ4AaABAg,aEJNEOt3CZs,@danianuka6803,UCNK32t70f0ZBiLqAHCN4Quw,He can go to gaza to fight,N,"Confidence: Low | The comment is very short and lacks context. It could be a sarcastic remark, an aggressive statement, or something else entirely. It doesn't clearly advocate for either side.",26
UgxXCXps24Sv5RMDWdl4AaABAg.9wRFu-1JkAv9wRJW-M4mJ4,aEJNEOt3CZs,@narhaq3438,,Please go do some research and read the Amnesty report on who actually uses human shields. Also see the videos from the released hostages on how many of the other hostages died. Terrorism/ Hamas/ Bibi all are terrorists !,P,"Confidence: High | The comment criticizes 'Bibi' (Benjamin Netanyahu) as a terrorist and mentions an Amnesty report on human shields, implying a critique of Israeli actions or justifications, aligning with a pro-Palestinian viewpoint.",221
UgwfRN7b6Mc85gsws6N4AaABAg.9wRQEzCJG0t9wUzle4PP9w,aEJNEOt3CZs,@echoe4806,,Delusional Jews…,P,"Confidence: High | The comment uses derogatory language ('Delusional Jews') which is often employed in anti-Israel discourse and suggests a negative sentiment towards Jewish people in the context of the conflict, aligning with a pro-Palestinian stance.",16
UgyZGRsaljM-oc7-LUF4AaABAg,aEJNEOt3CZs,@MicDreamsMusic,UCc8JjR3FxiQyg1chW1Xy8rg,Absolutely beautiful gave me goosebumps,N,"Confidence: High | The comment expresses a positive emotional response ('Absolutely beautiful gave me goosebumps') without any specific reference to the political or military aspects of the conflict. It's likely a reaction to the video content itself, not the political discourse.",39
UgxjY9EZklex6OVT81V4AaABAg,aEJNEOt3CZs,@haveanopinion,UCYGUPCdVsAqsRs0PaQCGlmg,So these jews support the hostage taking of jewish children.,I,"Confidence: High | The comment uses 'jews' in a derogatory way and links them to 'hostage taking of jewish children', implying criticism and a negative association with Jewish people. This can be interpreted as an anti-Israel or anti-Jewish sentiment, which in the context of the conflict, often aligns with a pro-Palestinian stance. However, the phrasing is convoluted and could also be seen as a criticism of specific individuals or groups who are Jewish and perceived to support hostage-taking, rather than a direct support for Palestine. Given the ambiguity and potentially complex intent, a closer look at the surrounding comments or video context would be beneficial. For now, the strongest indicator is the negative framing of 'jews' in relation to hostage-taking, which leans away from supporting Israel.",60
UgytRiufE3RevekQvXt4AaABAg,aEJNEOt3CZs,@artmirage7576,UCT0r2cFeUU1zgZLJmQKpxEQ,wow God bless them ameb❤❤❤❤,N,"Confidence: Medium | The comment 'wow God bless them ameb❤❤❤❤' expresses positive sentiment ('God bless them') towards the subjects of the video, but it is not specific enough to determine a stance on the Israel-Gaza conflict. 'Ameb' is unclear. Without more context, it's impossible to know who 'them' refers to or what actions are being blessed.",27
Ugz_DGt240DCLCnBfHd4AaABAg,aEJNEOt3CZs,@sadiashafiq7910,UC-GgmliggddEPRNfxbieWvw,Free Palestine,P,Confidence: High | The comment 'Free Palestine' is a direct and widely recognized slogan advocating for Palestinian liberation and rights. This clearly aligns with supporting Palestine.,14
